id;target;source
127;Eso no es por lo que estoy aquí.;That's not what I'm here for.
128;No es de por aquí.;He's not from around here.
129;¿Por qué está ella aquí?;Why is she here?
130;¡Aquí está él!;Here he is!
131;¡Él está aquí!;He is here!
132;Ella no está aquí.;She's not here.
133;¿Por qué estoy aquí?;Why am I here?
134;Estoy aquí.;I'm here.
135;¿Está aquí?;Is it here?
136;Tom no está aquí.;Tom isn't here.
137;¿Aquí?;Is it here?
138;No por eso estoy aquí.;It's not why I'm here.
139;No te quiero aquí.;I don't want you here.
140;Mi casa está aquí.;My house is here.
141;Yo como aquí.;I eat here.
142;¡Aquí está ella!;Here she is!
143;Por aquí.;This way.
144;¿Está aquí Tom?;Is Tom here?
145;¿Por qué tengo que hacer eso?;Why do I have to do that?
146;¿No es eso lo que hay que hacer?;Isn't that what needs to be done?
147;Él no tiene que hacer eso.;He does not have to do this.
148;¿Puedo yo hacer eso?;Can I do that?
149;Yo puedo hacer más.;I can do more.
150;Yo puedo hacer eso.;I can do that.
151;Tom no tiene que hacer eso.;Tom doesn't have to do that.
152;¿Qué hay que hacer?;What's there to do?
153;Es todo lo que quiero hacer.;It is all I want to do.
154;¿Qué tengo que hacer?;What do I have to do?
155;Pero no quiero.;But I don't want to.
156;¿Pero qué...?;Waaaa...
157;¿Pero por qué?;But why?
158;No tengo tiempo para eso.;I don't have time for that.
159;¿Tiene tiempo?;Do you have some time?
160;Yo como aquí todo el tiempo.;I eat here all the time.
161;Hay un tiempo para todo.;There is a time for everything.
162;¿Hay tiempo?;Is there time?
163;Tengo tiempo.;I have time.
164;No tengo tiempo.;I have no time.
165;Todo a su tiempo.;All in good time.
166;No hay tiempo.;There's no time.
167;Tom no puede hacer eso.;Tom can't do that.
168;Se puede hacer.;It can be done.
169;Tom puede hacer de todo.;Tom can do just about anything.
170;¿Qué se puede hacer?;What can be done?
171;Una vez más.;One more time.
172;Me gusta él.;I like him.
173;Él me gusta.;I like him.
174;A ella le gusta.;She likes him.
175;¿No te gusta?;Don't you like it?
176;¿Te gusta eso?;Do you like that?
177;¿Qué te gusta de ella?;What do you like about her?
178;¿Te gusta él?;Do you have a crush on him?
179;Le gusta Mary.;He likes Mary.
180;Me gusta mi casa.;I like my house.
181;No me gusta Tom.;I don't like Tom.
182;Como que me gusta aquí.;I kind of like it here.
183;Él le gusta a Tom.;Tom likes him.
184;A Tom le gusta.;Tom likes it.
185;A Tom le gusta eso.;Tom likes that.
186;A Tom le gusta Mary.;Tom liked Mary.
187;Me gusta Mary.;I like Mary.
188;A él le gusta ella.;He likes her.
189;A ella le gusta ella.;She likes her.
190;A Mary le gusta ella.;Mary likes her.
191;Ella le gusta a Tom.;Tom likes her.
192;¿Qué te gusta?;What do you like?
193;¿Qué me gusta hacer?;What do I like to do?
194;Me gusta eso.;I like that.
195;¡Pero te gusta!;But you like it!
196;A Tom le gusta Mary, pero a ella no le gusta él.;Tom likes Mary, but she doesn't like him.
197;Tom gusta de Mary y Mary gusta de Tom.;Tom likes Mary and Mary likes Tom.
198;¿Te gusta?;Do you like it?
199;A ella le gusta él.;She likes him.
200;A ella no le gusta.;She does not like him.
201;Me gusta más L.A.;I like L.A. better.
202;Me gusta.;I like it.
203;¿Qué casa te gusta más?;What house do you like more?
204;Este no me gusta.;I don't like this one.
205;¿Te gusta Tom?;Do you like Tom?
206;La casa no me gusta.;I do not like the house.
207;¿Qué no te gusta?;What don't you like?
208;¿A Tom le gusta Mary?;Does Tom like Mary?
209;Pero, ¿te gusta?;But do you like it?
210;¿Qué es lo que te gusta?;What do you like?
211;Ella no me gusta.;I don't like her.
212;Eso no me gusta.;That isn't to my liking.
213;¿Qué te gusta hacer?;What do you like to do?
214;¿No se puede hacer nada?;Can't anything be done?
215;Tom no tiene nada más que hacer.;Tom has nothing else to do.
216;No tiene nada.;He has nothing.
217;No me gusta nada.;I don't like it at all.
218;No puedo hacer nada.;I can't do anything.
219;No puedo hacer nada para Tom.;I can't do anything for Tom.
220;Eso no fue nada.;That was nothing.
221;No me gusta para nada.;I don't like it at all.
222;Aquí no hay nada.;There is nothing here.
223;No tiene nada que hacer.;He has nothing to do.
224;No tengo nada que hacer.;I have nothing to do.
225;De nada.;You're welcome.
226;No quiero nada.;I don't want anything.
227;¡De eso nada!;No way!
228;Le quiero más que a nada.;I love him more than anything.
229;No tengo nada más que hacer.;I've got no more to do.
230;¡De nada!;You're welcome!
231;No quiero nada más.;I don't want any more.
232;Él no me gusta para nada.;I don't really like him.
233;Ella no me gusta para nada.;I don't really like her.
234;Él no es nada.;He's nothing.
235;No tengo nada.;I have nothing.
236;Todo fue para nada.;It was all for nothing.
237;De eso nada.;No way.
238;No puedo hacer nada más.;I can't do anything else.
239;No hay nada que hacer.;There is nothing to do.
240;No, para nada.;Nope, not at all.
241;Ella me gusta mucho.;I like her a lot.
242;Él tiene mucho que hacer.;He has a lot of things to do.
243;Te quiero mucho.;I like you a lot.
244;¡Mucho!;Very!
245;No hay mucho tiempo.;There isn't much time.
246;Y mucho más.;And a lot more.
247;¡Hay mucho por hacer!;There's a lot to do.
248;¿Por mucho tiempo?;For very long?
249;No tengo mucho tiempo.;I don't have much time.
250;A Tom no le gusta mucho Mary.;Tom doesn't like Mary very much.
251;Me gusta mucho.;I like it very much.
252;Quiero mucho más.;I want a lot more.
253;Hay mucho que hacer.;There are lots of things to do.
254;A Tom le gusta mucho Mary.;Tom likes Mary very much.
255;Tom no tiene mucho tiempo.;Tom doesn't have much time.
256;Quiero mucho a Mary.;I love Mary so much.
257;Tengo mucho que hacer.;I have a lot of things to do.
258;Le quiero mucho.;I like him very much.
259;Tengo algo.;I have something.
260;¿Tiene algo más?;Do you have anything else?
261;quiero hacer algo;I want something to do.
262;¿Algo más?;Anything else?
263;¿No hay algo más?;Isn't there something else?
264;¿Algo más? "No, eso es todo.";Anything else? "No, that's all."
265;Aquí hay algo.;There's something in here.
266;Tengo algo que hacer.;I've got something to do.
267;Hay que hacer algo.;Something has to be done.
268;¿Puedo hacer algo?;Can I do anything?
269;Tengo algo para Tom.;I have something for Tom.
270;Es algo que tengo que hacer.;It's something I have to do.
271;Hay algo que tengo que hacer.;There's something I have to do.
272;Quiero algo más.;I want something more.
273;Hay algo que no me gusta de Tom.;There's something about Tom that I don't like.
274;Tengo que hacer algo.;I have to do something.
275;Hay algo más.;There's something else.
276;Una vez más, por favor.;Once more, please.
277;Por aquí por favor, Tom.;This way please, Tom.
278;¡Por favor!;Please.
279;Quiero ser como ella.;I want to be like her.
280;¡No puede ser!;It can't be!
281;Es como tiene que ser.;It is how it is.
282;Puede ser.;It may be.
283;Eso no puede ser.;That can't be.
284;No puede ser.;It's impossible.
285;No era de él.;It wasn't his.
286;Era para Tom.;It was for Tom.
287;Era de Tom.;It was from Tom.
288;No era de ella.;It wasn't hers.
289;No era nada.;It was nothing.
290;¿Todo está bien?;Everything all right?
291;No, no está bien.;No, it's not right.
292;Está muy bien.;It's very good.
293;No estoy bien.;I am not good.
294;Está bien.;It's OK.
295;¡Bien!;Fine!
296;Fue muy bien.;It went very well.
297;Todo bien.;It's all OK.
298;Tu casa está muy bien.;Your house is very nice.
299;¿Está todo bien?;Is everything OK?
300;Todo estaba bien.;It was all good.
301;Estaba muy bien.;It was pretty neat.
302;Estaba tan bien.;It was so good.
303;¿Todo bien?;Everything okay?
304;¡Muy bien!;Really good!
305;Bien.;Good.
306;Ella nada bien.;She swims well.
307;¿Está bien?;Is that okay?
308;Estoy bien.;I'm doing fine.
309;¡Qué bien!;That's great!
310;¿Todo está bien aquí?;Is everything OK here?
311;¿Tom está bien?;Is Tom all right?
312;Es por tu bien.;This is for you.
313;Algo no está bien.;Something isn't right.
314;Todo está bien.;It's all right.
315;Él está bien.;He's all right.
316;Todo está bien en casa.;Everything is all right at home.
317;Todo fue bien.;Everything went well.
318;¡No, no! Eso no está bien.;No, no! That's not right.
319;Esto es lo que más quiero.;That's what I want most.
320;Me gusta esto.;I like this.
321;No me gusta esto.;I don't like this.
322;Esto es todo lo que tiene que hacer Tom.;This is all Tom has to do.
323;Esto es lo que tengo que hacer.;This is what I have to do.
324;A Tom le gusta esto.;Tom likes this.
325;Esto es todo.;This is it.
326;Yo puedo hacer esto.;I can do this.
327;No puedo hacer más que esto.;I can't do any more than this.
328;Esto es todo lo que quiero hacer.;This is all I want to do.
329;No hay para qué hacer esto.;We don't have to do this.
330;No quiero hacer esto.;I don't want to do this.
331;Esto es todo lo que puedo hacer.;This is all I can do.
332;No tengo tiempo para esto.;I don't have time for this.
333;¿Qué es esto?;What is that?
334;Esto es todo lo que él tiene que hacer.;This is all he has to do.
335;Esto es lo que quiero.;This is what I want.
336;Esto es todo lo que tengo.;It's all I have.
337;¿Esto es todo?;Is this everything?
338;¿Qué es todo esto?;What is all this?
339;¿Para qué es esto?;What is this for?
340;No quiero hacer esto aquí.;I don't want to do this here.
341;Esto no está bien.;This is not okay.
342;No quiero esto.;I don't want this.
343;Esto y no más.;This and no more.
344;A Tom no le gusta esto.;Tom doesn't like this.
345;¡Esto no puede ser!;This can't be!
346;He aquí.;Behold.
347;No quiero ir.;I don't want to go.
348;¿Me puedo ir a mi casa?;May I go home?
349;Tom tiene que ir.;Tom has to go.
350;¿Puedo ir con Tom?;Can I go with Tom?
351;No me quiero ir.;I don't want to leave.
352;No puedo ir con Tom.;I can't come with Tom.
353;Puedo ir.;I can go.
354;Me quiero ir.;I want to leave.
355;Se puede ir.;You are allowed to go.
356;¿Puedo ir con él?;May I go with him?
357;Me quiero ir a casa.;I want to go home.
358;Quiero ir.;I want to go.
359;No puedo ir a casa.;I can't go home.
360;Me tengo que ir.;I have to leave now.
361;Yo quiero ir con Tom.;I want to go with Tom.
362;Tengo que ir a casa.;I have to go home.
363;Ella nos gusta a todos.;All of us like her.
364;Tom nos gusta.;We like Tom.
365;Nos gusta.;We like it.
366;No nos gusta esta casa.;We don't like this house.
367;¿Para qué son ellos?;What are those for?
368;¿Eso no es de ellos?;Isn't that theirs?
369;¿A Tom ya no le gusta Mary?;Doesn't Tom like Mary anymore?
370;Él ya no está en casa.;He is no longer at home.
371;¡Ya estoy aquí!;I'm here already!
372;Lo quiero ya.;I just want it.
373;Lo quiero y ya está.;I just want it.
374;Tom ya no está aquí.;Tom isn't here anymore.
375;Ya no lo quiero hacer.;I don't want to do it anymore.
376;Ya no quiero más.;I don't want any more.
377;Ya está.;Done.
378;Ya estoy en casa.;I am at home.
379;¡Ya!;Go!
380;Él ya no está aquí.;He is no longer here.
381;Ya no lo quiero.;I don't want it anymore.
382;Ya no te quiero.;I don't love you anymore.
383;Ya me tengo que ir.;I have got to go now.
384;Ya no quiero.;I don't want any more.
385;¿Está bien ya?;Is that OK now?
386;Tom ya se fue a casa.;Tom has already gone home.
387;Ya no le quiero.;I do not love him any longer.
388;Ya no puedo hacer esto.;I can't do this anymore.
389;¿Ya me puedo ir a casa?;Can I go home now?
390;Él estaba solo.;He was alone.
391;Tom estaba solo en casa.;Tom was at home alone.
392;Tom estaba solo.;Tom was alone.
393;Él estaba solo en la casa.;He was alone in the house.
394;No puedo hacer eso solo.;I can't do this all on my own.
395;Estaba solo.;I was lonely.
396;Está solo.;He is alone.
397;Es más que solo eso.;It's more than just that.
398;¿Estoy solo aquí?;Am I alone here?
399;Estoy solo.;I'm alone.
400;Estoy tan solo.;I'm so alone.
401;Yo estoy solo.;I'm alone.
402;Aquí estoy yo solo.;There's no one but me here.
403;Tom no estaba solo.;Tom wasn't alone.
404;Solo quiero ir a casa.;I just want to go home.
405;No quiero ir solo.;I don't want to go alone.
406;Él está solo.;He is alone.
407;No quiero ir yo solo.;I don't want to go on my own.
408;Él ya no está solo.;He isn't alone anymore.
409;Ya no está solo.;He isn't alone anymore.
410;Solo quiero a Tom.;I only want Tom.
411;No solo es eso.;It's not just that.
412;No, solo una.;No, just one.
413;Lo puedo hacer solo.;I can do this on my own.
414;Nunca más.;Never again.
415;¿Por qué él nunca puede hacer nada?;Why can he never do anything?
416;¿Por qué no mañana?;Why not tomorrow?
417;No tengo tiempo mañana.;I have no time tomorrow.
418;Es por la mañana.;It's morning.
419;Siempre como aquí.;I eat here all the time.
420;Nada es para siempre.;Nothing is forever.
421;Siempre hay algo que hacer.;There is always something to do.
422;¿Por qué siempre yo?;Why always me?
423;Es su trabajo.;It's their job.
424;Tengo más trabajo por hacer.;I have more work to do.
425;Este es mi trabajo.;This is my job.
426;Es el trabajo de Tom.;It's Tom's job.
427;No es mi trabajo.;It's not my job.
428;Me gusta mucho mi trabajo.;I like my job very much.
429;Tom tiene un trabajo.;Tom has a job.
430;Tom está en el trabajo.;Tom is at work.
431;¿A Tom le gusta su trabajo?;Does Tom like his job?
432;Le gusta su trabajo.;He is pleased with his work.
433;¿Te gusta tu trabajo?;Do you like your work?
434;Tengo mucho trabajo que hacer mañana.;I have lots of work to do tomorrow.
435;Tengo que hacer mi trabajo.;I have to do my job.
436;Un trabajo que no te gusta es... un trabajo.;A job that you don't love is... a job.
437;Me gusta mi trabajo.;I like my job.
438;No hay trabajo aquí.;There are no jobs here.
439;Yo no quiero hacer el trabajo.;I don't want to do the work.
440;Mañana trabajo.;I'm working tomorrow.
441;Trabajo con él.;I work with him.
442;Hay mucho trabajo que hacer.;There's a lot of work to do.
443;Ella está en el trabajo, ¿no?;She's at work, isn't she?
444;Ella tiene mucho trabajo que hacer.;She has a lot of work to do.
445;Mañana tengo mucho trabajo.;I have a lot of work to do tomorrow.
446;Yo trabajo.;I am working.
447;Yo no trabajo.;I do not work.
448;¿Qué es tu trabajo?;What's your job?
449;No trabajo.;I do not work.
450;A Tom no le gusta su trabajo.;Tom doesn't like his work.
451;Me gusta tu trabajo.;I like your work.
452;Trabajo por la mañana.;I work in the morning.
453;Trabajo mucho.;I work a lot.
454;Es mucho trabajo.;It's a lot of work.
455;Tom tiene mucho trabajo para hacer.;Tom has too much work to do.
456;Trabajo aquí.;I work here.
457;Quiero hacer mi trabajo.;I want to do my job.
458;No puedo hacer el trabajo solo.;I cannot do the work on my own.
459;Tengo mucho trabajo que hacer.;I've got a lot of work to do.
460;No me gusta mi trabajo.;I don't like my job.
461;Ya no trabajo aquí.;I no longer work here.
462;No trabajo para Tom.;I'm not working for Tom.
463;Es mi trabajo.;It's work.
464;¿Cómo está el tiempo?;How's the weather?
465;¿Cómo es tu casa?;What is your house like?
466;¿Cómo era?;What was it like?
467;¿Cómo está Mary?;How is Mary?
468;¿Cómo era ella?;What was she like?
469;¿Cómo era la casa de Tom?;What did Tom's house look like?
470;¿Cómo es ella?;What is she like?
471;¿Cómo está Tom?;How's Tom doing?
472;¿Cómo se puede hacer?;How can it be done?
473;¿Cómo es él?;What is he like?
474;¿Cómo es Tom?;What's Tom like?
475;¿Cómo puede ser?;How could it be?
476;¡Pero qué día!;What a day!
477;Una vez al día...;Once a day...
478;No tengo todo el día.;I don't have all day.
479;Lo tiene que hacer ahora.;He must do it now.
480;Ahora está en el trabajo.;She is at work right now.
481;Ahora está solo.;He is now on his own.
482;No puedo hacer eso ahora.;I can't do that now.
483;Me tengo que ir ahora.;I must leave now.
484;¿Y ahora qué?;And now what?
485;Ahora, Tom no está en casa.;Tom isn't at home now.
486;No tengo tiempo para eso ahora.;I've got no time for that now.
487;Tom no está solo ahora.;Tom isn't lonely now.
488;Tom tiene algo que hacer ahora.;Tom has something to do right now.
489;Y ahora, el tiempo.;Now it's time for the weather forecast.
490;Tengo que ir ahora.;I need to go now.
491;¿Tengo que hacer eso ahora?;Do I have to do this now?
492;No tengo nada que hacer ahora.;I have nothing to do now.
493;Ella no está en casa ahora.;She isn't at home now.
494;Tengo trabajo que hacer ahora.;I have work to do now.
495;Está en casa ahora.;He's at home right now.
496;Estoy aquí ahora.;I am here now.
497;No tengo tiempo ahora.;I don't have time now.
498;¿Está ahora bien?;It's ok now?
499;Ahora está todo bien.;Everything is all right now.
500;Todo está bien ahora.;Everything is all right now.
501;¿Qué tengo que hacer ahora?;What do I need to do now?
502;Ahora me tengo que ir.;I have to leave now.
503;Ahora no tengo mucho tiempo.;I don't have much time now.
504;¡Ahora no!;Not now!
505;¿Me puedo ir a casa ahora?;Can I go home now?
506;¿Tengo que ir ahora?;Do I have to go right now?
507;Ahora no está aquí.;He isn't here now.
508;Ahora no tengo tiempo.;I don't have time now.
509;Tom está bien ahora.;Tom is OK now.
510;Ahora me tengo que ir a casa.;I have to go home now.
511;Ahora estoy en el trabajo.;I'm at work now.
512;Ahora no está en casa.;She isn't at home now.
513;El no está aquí ahora.;He's out now.
514;¡Lo quiero ahora!;I want it now!
515;¿Y ahora?;And now?
516;Soy lo que soy.;I am who I am.
517;Soy Tom.;I'm Tom.
518;Yo soy Tom.;I'm Tom.
519;No soy Tom.;I'm not Tom.
520;No soy de aquí.;I'm not from here.
521;Soy yo.;It's me.
522;Este soy yo.;This is me.
523;No soy nada.;I am nothing.
524;Soy como ellos.;I am like them.
525;Soy como ella.;I am like her.
526;Soy como él.;I am like him.
527;Es lo que soy.;It's what I am.
528;Soy.;I am.
529;¿Dónde está la casa de Tom?;Where is Tom's house?
530;¿De dónde es?;Where are you from?
531;¿Dónde está su casa?;Where is his house?
532;¿En dónde estoy?;Where am I?
533;¿A dónde fue Tom?;Where did Tom go?
534;¿Dónde estaba eso?;Where was that?
535;¿De dónde soy?;Where am I from?
536;¿De dónde es ella?;Where's she from?
537;¿A dónde fue?;Where did he go?
538;¿De dónde?;From where?
539;¿Dónde está ella?;Where is she?
540;¿Dónde estoy?;Where am I?
541;¿Dónde?;Where?
542;¿En dónde?;Where?
543;¿Dónde está Tom ahora?;Where's Tom now?
544;¿De dónde son?;Where are they from?
545;¿Dónde está?;Where is this?
546;¿Dónde está él?;Where is he?
547;¿Dónde está tu casa?;Where is your house?
548;¿Dónde estoy ahora?;Where am I now?
549;¿A dónde fue él?;Where did he go?
550;¿Dónde está Tom?;Where's Tom?
551;¿Ahora dónde estoy?;Where am I now?
552;No sé qué es eso.;I don't know what that is.
553;No sé por qué.;I don't know why.
554;No sé.;I don't know.
555;Yo sé dónde está ella.;I know where she is.
556;No sé qué más hacer.;I don't know what else to do.
557;Eso es lo que no sé.;That's what I don't know.
558;Sé que te gusta él.;I know you like him.
559;Esto es todo lo que sé.;This is all I know.
560;Yo sé.;I know.
561;Ahora sé.;I know now.
562;No sé dónde estoy.;I don't know where I am.
563;No sé dónde está Tom.;I don't know where Tom is.
564;Ahora no sé qué hacer.;I don't know what to do now.
565;Lo sé todo.;I know everything.
566;Sé como hacer mi trabajo.;I know how to do my job.
567;Yo sé por qué Tom está aquí.;I know why Tom is here.
568;Ya lo sé.;I know how it is.
569;Sé lo que es.;I know what it is.
570;Sé lo que era.;I know what it was.
571;¡No sé dónde está!;I don't know where he is!
572;No sé para nada.;I don't know at all.
573;Yo sé mi trabajo.;I know my job.
574;Sé cómo lo puedo hacer.;I know how I can do it.
575;Yo sé eso bien.;I know that well.
576;Sé eso bien.;I know that well.
577;No sé lo que es eso.;I don't know what that is.
578;Lo sé por él.;I know it from him.
579;No lo sé.;I don't know.
580;Lo sé.;I know.
581;Eso es todo lo que sé.;That's all I know.
582;No sé por qué no te gusta.;I don't know why you don't like her.
583;Eso no lo sé.;I don't know that.
584;Yo lo sé.;I know.
585;No sé si tengo tiempo.;I don't know if I have the time.
586;Ya no sé qué hacer.;I don't know what to do anymore.
587;Sé dónde está ella.;I know where she is.
588;Ahora sé lo que tengo que hacer.;I know now what I have to do.
589;Sé lo que quiero hacer.;I know what I want to do.
590;No sé dónde está.;I don't know where it is.
591;Eso ya lo sé.;I know that already.
592;Esto es todo lo que sé de él.;This is all that I know about him.
593;No sé qué quiero.;I don't know what I want.
594;No sé lo que quiero.;I don't know what I want.
595;Sé que no sé.;I know that I do not know.
596;Sé de dónde es él.;I know where he comes from.
597;Ahora sé por qué.;Now I know why.
598;No sé qué hacer mañana.;I don't know what to do tomorrow.
599;Sé que no sé nada.;I know that I know nothing.
600;Ya no sé lo que quiero.;I don't know what I want anymore.
601;Sé lo que tengo que hacer.;I know what to do.
602;No sé qué quiero hacer.;I don't know what I want to do.
603;No sé qué hacer.;I don't know what to do.
604;No sé bien.;I don't quite know.
605;Sé dónde está.;I know where it is.
606;No sé lo que es.;I don't know what it is.
607;De vez en cuando sé de él.;I hear from him once in a while.
608;No sé nada de él.;I don't know anything about him at all.
609;Sé lo que quiero.;I know what I want.
610;No sé qué hacer ahora.;I don't know what to do now.
611;Lo sé muy bien.;I know it very well.
612;Yo sé eso.;I know that.
613;No sé más que eso.;I know only this.
614;No sé nada.;I know nothing.
615;Lo sé bien.;I know it well.
616;Sé que no fue Tom.;I know it wasn't Tom.
617;Sé que fue Tom.;I know it was Tom.
618;Sé que el dinero no lo es todo.;I know that money isn't everything.
619;Es tu dinero.;It's your money.
620;Tengo más dinero que Tom.;I have more money than Tom.
621;No quiero su dinero.;I don't want their money.
622;Él tiene mucho dinero.;He has a lot of money.
623;No tengo mucho dinero.;I haven't got much money.
624;Eso es mucho dinero.;That's a lot of money.
625;Tengo algo de dinero por aquí.;I have some money with me.
626;Tengo mucho dinero.;I have a lot of money.
627;No tengo más dinero.;I don't have any more money.
628;Quiero dinero.;I want money.
629;Pero no tengo dinero.;But I don't have money.
630;Todo lo que quiero es dinero.;All I want is money.
631;Tom tiene algo de dinero.;Tom has a little money.
632;Hay mucho dinero.;There is a lot of money.
633;El dinero es todo.;Money is everything.
634;Ella no tiene mucho dinero.;She does not have much money.
635;Ahora tengo algo de dinero.;I have a little money now.
636;El tiempo es dinero.;Time is money.
637;No quiero dinero.;I do not want any money.
638;El dinero no lo es todo.;Money isn't everything.
639;Él tiene mucho más dinero que yo.;He has much more money than I have.
640;No tengo dinero.;I do not have any money.
641;Quiero algo de dinero.;I want some money.
642;¿Tiene el dinero?;Have you got the money?
643;Tengo dinero.;I have money.
644;Tengo algo de dinero.;I have little money.
645;Tiene mucho dinero.;She has a lot of money.
646;El dinero no es todo.;Money isn't everything.
647;¿Dónde está tu dinero?;Where's your money?
648;El dinero lo es todo.;Money is everything.
649;Él no tiene dinero.;He has no money.
650;¿Dónde está el dinero?;Where's the money?
651;Sé que el dinero no es todo.;I know that money isn't everything.
652;Él tiene dinero.;He has money.
653;Le gusta el dinero.;He likes money.
654;Tom tiene mucho más dinero que yo.;Tom has a lot more money than I have.
655;Tom tiene mucho dinero.;Tom has a lot of money.
656;¿Dónde está mi dinero?;Where's my money?
657;Quiero el dinero de Tom.;I want Tom's money.
658;¿Tiene dinero?;Does she have money?
659;El dinero lo puede todo.;Money will do anything.
660;No quiero tu dinero.;I don't want your money.
661;Este es todo el dinero que tengo.;This is all the money I have.
662;Quiero más dinero.;I want more money.
663;No tengo nada de dinero.;I don't have any money at all.
664;A Tom le gusta el dinero.;Tom likes money.
665;No tengo el dinero.;I don't have the money.
666;No quiero el dinero.;I don't want the money.
667;Tom tiene más dinero que yo.;Tom has more money than I do.
668;Ese no es Tom.;That isn't Tom.
669;Ese era Tom.;That was Tom.
670;Ese no era Tom.;That wasn't Tom.
671;¿Es ese Tom?;Is that Tom?
672;¿Es ese?;Is that it?
